original_order,id,title,multiauthored,authors,repeat_author
148,199798522,I Was a Teenage Slasher,0,Stephen Graham Jones,1
149,157035866,Diavola,0,Jennifer Marie Thorne,0
150,204294824,Sleep Tight,0,J.H. Markert,0
151,203608552,So Thirsty,0,Rachel Harrison,1
152,205064706,The Book of Witching,0,C.J. Cooke,0
153,193544852,My Darling Dreadful Thing,0,Johanna van Veen,0
154,203956643,A Sunny Place for Shady People,1,Mariana Enríquez,1
154,203956643,A Sunny Place for Shady People,1,Megan McDowell,1
155,205673392,The Bog Wife,0,Kay Chronister,0
156,178019710,The Angel of Indian Lake,0,Stephen Graham Jones,1
157,192724951,Indian Burial Ground,0,Nick Medina,1
158,203163914,House of Bone and Rain,0,Gabino Iglesias,1
159,205064715,This Cursed House,0,Del Sandeen,0
160,201632567,Blood Like Mine,0,Stuart Neville,0
169,201752567,The Truth According to Ember,0,Danica Nava,0
172,195888874,Daughters of Shandong,0,Eve J. Chung,0
173,195790999,Masquerade,0,O.O. Sangoyomi,0
174,176442848,The Things We Didn’t Know,0,Elba Iris Pérez,0
175,182484361,All We Were Promised,0,Ashton Lattimore,0
176,127278133,Glorious Exploits,0,Ferdia Lennon,0
178,197789783,Fire Exit,0,Morgan Talty,0
179,208107364,Shred Sisters,0,Betsy Lerner,0
180,177185976,Victim,0,Andrew Boryga,0
201,127280062,Ruthless Vows,0,Rebecca Ross,1
202,186631952,Reckless,0,Lauren Roberts,1
203,127305713,Heartless Hunter,0,Kristen Ciccarelli,0
204,75673879,The Prisoner’s Throne,0,Holly Black,1
205,43606308,Defiant,0,Brandon Sanderson,1
206,200982373,Don't Let the Forest In,0,C.G. Drews,0
207,203578814,Where the Library Hides,0,Isabel Ibañez,1
208,195820745,Wisteria,0,Adalyn Grace,1
209,206780522,Heir,0,Sabaa Tahir,1
210,127823371,All This Twisted Glory,0,Tahereh Mafi,1
211,125201142,Where the Dark Stands Still,0,A.B. Poranek,0
212,206119059,Immortal Dark,0,Tigest Girma,0
213,145624962,So Let Them Burn,0,Kamilah Cole,0
214,59475768,The Invocations,0,Krystal Sutherland,1
215,157020041,The Poisons We Drink,0,Bethany Baptiste,0
216,181325033,Dragonfruit,0,Makiia Lucier,0
217,180634025,The Darkness Within Us,0,Tricia Levenseller,1
218,199087657,Of Jade and Dragons,0,Amber Chen,0
219,61070523,For She Is Wrath,0,Emily Varga,0
220,124932778,"Your Blood, My Bones",0,Kelly Andrew,0
221,125045190,Heartstopper: Volume Five,0,Alice Oseman,1
222,182484360,The Reappearance of Rachel Price,0,Holly Jackson,1
223,207293948,Nothing Like the Movies,0,Lynn Painter,1
224,197392670,The Grandest Game,0,Jennifer Lynn Barnes,1
225,207973376,If Only I Had Told Her,0,Laura Nowlin,0
226,60197314,Betting on You,0,Lynn Painter,1
227,61484909,Where Sleeping Girls Lie,0,Faridah Àbíké-Íyímídé,1
228,123429195,That's Not My Name,0,Megan Lally,0
229,161184313,A Thousand Broken Pieces,0,Tillie Cole,1
230,61885131,Gwen & Art Are Not in Love,0,Lex Croucher,0
231,160047094,Dungeons and Drama,0,Kristy Boyce,0
232,124932739,I Hope This Doesn't Find You,0,Ann Liang,1
233,213092742,A Crane Among Wolves,0,June Hur,0
234,111673641,Most Ardently,0,Gabe Cole Novoa,0
235,181110014,Icarus,0,K. Ancrum,0
236,199793628,Death at Morning House,0,Maureen Johnson,1
237,203820262,When the World Tips Over,0,Jandy Nelson,1
238,200982340,A Bánh Mì for Two,0,Trinity Nguyen,0
239,201102406,Under the Surface,0,Diana Urban,0
240,180725527,Thirsty,0,Jas Hammonds,1
241,171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,0,Jonathan Haidt,1
242,195790756,It's Not Hysteria: Everything You Need to Know About Your Reproductive Health,0,Karen Tang,0
243,210943364,The Message,0,Ta-Nehisi Coates,1
244,207006355,Want,0,Gillian Anderson,0
245,194803881,The Backyard Bird Chronicles,0,Amy Tan,1
246,158649729,All in Her Head: The Truth and Lies Early Medicine Taught Us About Women's Bodies and Why It Matters Today,0,Elizabeth Comen,0
247,123921296,"One in a Millennial: On Friendship, Feelings, Fangirls, and Fitting In",0,Kate Kennedy,0
248,209786389,Framed: Astonishing True Stories of Wrongful Convictions,1,John Grisham,0
248,209786389,Framed: Astonishing True Stories of Wrongful Convictions,1,Jim McCloskey,0
249,203578896,Disney High: The Untold Story of the Rise and Fall of Disney Channel's Tween Empire,0,Ashley Spencer,0
250,182733784,Nuclear War: A Scenario,0,Annie Jacobsen,1
251,75496481,"Blood: The Science, Medicine, and Mythology of Menstruation",0,Jen Gunter,0
252,203751764,I'm Sorry for My Loss: An Urgent Examination of Reproductive Care in America,1,Rebecca Little,0
252,203751764,I'm Sorry for My Loss: An Urgent Examination of Reproductive Care in America,1,Colleen Long,0
253,216857785,"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",0,Malcolm Gladwell,1
254,210454076,The Devil at His Elbow: Alex Murdaugh and the Fall of a Southern Dynasty,0,Valerie Bauerlein,0
255,127653704,"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",0,Tim Alberta,0
256,142402923,Feel-Good Productivity: How to Do More of What Matters to You,0,Ali Abdaal,0
257,208580597,"How to Tell When We Will Die: On Pain, Disability, and Doom",0,Johanna Hedva,0
258,214438480,Supercommunicators: How to Unlock the Secret Language of Connection,0,Charles Duhigg,1
259,203579030,"The Sing Sing Files: One Journalist, Six Innocent Men, and a Twenty-Year Fight for Justice",0,Dan Slepian,0
260,205363955,Meditations for Mortals: Four Weeks to Embrace Your Limitations and Make Time for What Counts,0,Oliver Burkeman,0
261,207298106,The Third Gilmore Girl,0,Kelly Bishop,0
262,176443093,Sociopath: A Memoir,0,Patric Gagne,0
263,204905217,From Here to the Great Unknown,1,Lisa Marie Presley,0
263,204905217,From Here to the Great Unknown,1,Riley Keough,0
264,195791316,Loud: Accept Nothing Less Than the Life You Deserve,0,Drew Afualo,0
265,181109983,The House of Hidden Meanings,0,RuPaul,0
266,209192698,Be Ready When the Luck Happens,0,Ina Garten,1
267,199344846,Knife: Meditations After an Attempted Murder,0,Salman Rushdie,1
268,134115745,Oath and Honor: A Memoir and a Warning,0,Liz Cheney,0
269,195790788,A Well-Trained Wife: My Escape from Christian Patriarchy,0,Tia Levings,0
270,202939207,"Bits and Pieces: My Mother, My Brother, and Me",0,Whoopi Goldberg,0
271,127282631,Grief Is for People,0,Sloane Crosley,1
272,198385436,I Shouldn’t Be Telling You This [But I'm Going to Anyway],0,Chelsea Devantez,0
273,181346634,There's Always This Year: On Basketball and Ascension,0,Hanif Abdurraqib,1
274,203708995,The Friday Afternoon Club: A Family Memoir,0,Griffin Dunne,0
275,196585876,An Unfinished Love Story: A Personal History of the 1960s,0,Doris Kearns Goodwin,1
276,176443920,The Wives: A Memoir,0,Simone Gorrindo,0
277,182095845,Here After,0,Amy Lin,0
278,126918693,My Side of the River,0,Elizabeth Camarillo Gutierrez,0
279,127305940,The Manicurist's Daughter,0,Susan Lieu,0
280,200100950,Wanted: Toddler's Personal Assistant,0,Stephanie Kiser,0
281,201751300,The Bookshop: A History of the American Bookstore,0,Evan Friss,0
282,203956674,"The Small and the Mighty: Twelve Unsung Americans Who Changed the Course of History, from the Founding to the Civil Rights Movement",0,Sharon McMahon,0
283,195608683,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War",0,Erik Larson,1
284,208580608,The Elements of Marie Curie: How the Glow of Radium Lit a Path for Women in Science,0,Dava Sobel,0
285,207567691,"American Scary: A History of Horror, from Salem to Stephen King and Beyond",0,Jeremy Dauber,0
