genre,count,regex that matches,formula text
"Terrorism,",3,TRUE,"=REGEXMATCH (A322, ""Terrorism"")"
"Travelogue,",3,TRUE,"=REGEXMATCH (A323, ""Travelogue"")"
"Unicorns,",3,TRUE,"=REGEXMATCH (A324, ""Unicorns"")"
"Vegetarian,",3,TRUE,"=REGEXMATCH (A325, ""Vegetarian"")"
"Wonder Woman,",3,TRUE,"=REGEXMATCH (A326, ""Wonder Woman"")"
"12th Century,",2,TRUE,"=REGEXMATCH (A327, ""12th Century"")"
"18th Century,",2,TRUE,"=REGEXMATCH (A328, ""18th Century"")"
"Agriculture,",2,TRUE,"=REGEXMATCH (A329, ""Agriculture"")"
"Amazon,",2,TRUE,"=REGEXMATCH (A330, ""Amazon"")"
"American Civil War,",2,TRUE,"=REGEXMATCH (A331, ""American Civil War"")"
"Arthurian,",2,TRUE,"=REGEXMATCH (A332, ""Arthurian"")"
"Back To School,",2,TRUE,"=REGEXMATCH (A333, ""Back To School"")"
"Christian Living,",2,TRUE,"=REGEXMATCH (A334, ""Christian Living"")"
"Clean Romance,",2,TRUE,"=REGEXMATCH (A335, ""Clean Romance"")"
"Communication,",2,TRUE,"=REGEXMATCH (A336, ""Communication"")"
